,ka_number,class_name,train_name,departure_time,arrival_time,origin_station_code,destination_station_code,origin_station_name,destination_station_name
175,176,KA EKSEKUTIF EKONOMI,MENOREH,13:35:00,19:22:00,PSE,SMT,Pasar Senen,Semarang Tawang
176,177,KA EKSEKUTIF EKONOMI,MENOREH,23:40:00,05:48:00,SMT,PSE,Semarang Tawang,Pasar Senen
177,178,KA EKSEKUTIF EKONOMI,TAWANGJAYA PREMIUM,06:45:00,12:53:00,PSE,SMT,Pasar Senen,Semarang Tawang
178,179,KA EKSEKUTIF EKONOMI,TAWANGJAYA PREMIUM,14:15:00,19:52:00,SMT,PSE,Semarang Tawang,Pasar Senen
179,180,KA EKSEKUTIF EKONOMI,TAWANGJAYA PREMIUM,23:50:00,05:40:00,PSE,SMT,Pasar Senen,Semarang Tawang
180,181,KA EKSEKUTIF EKONOMI,KAMANDAKA,05:10:00,07:09:00,PWT,TG,Purwokerto,Tegal
181,182,KA EKSEKUTIF EKONOMI,KAMANDAKA,07:15:00,09:42:00,TG,SMT,Tegal,Semarang Tawang
182,183,KA EKSEKUTIF EKONOMI,KAMANDAKA,10:40:00,13:21:00,SMT,TG,Semarang Tawang,Tegal
183,184,KA EKSEKUTIF EKONOMI,KAMANDAKA,13:33:00,15:28:00,TG,PWT,Tegal,Purwokerto
184,191,KA EKSEKUTIF EKONOMI,KAMANDAKA,18:20:00,20:37:00,SMT,TG,Semarang Tawang,Tegal
185,190,KA EKSEKUTIF EKONOMI,KAMANDAKA,20:42:00,22:34:00,TG,PWT,Tegal,Purwokerto
186,194,KA EKSEKUTIF EKONOMI,KAMANDAKA,13:05:00,13:50:00,CP,KYA,Cilacap,Kroya
187,195,KA EKSEKUTIF EKONOMI,KAMANDAKA,14:10:00,16:30:00,KYA,TG,Kroya,Tegal
188,196,KA EKSEKUTIF EKONOMI,KAMANDAKA,16:36:00,18:46:00,TG,SMT,Tegal,Semarang Tawang
189,197,KA EKSEKUTIF EKONOMI,KAMANDAKA,06:00:00,08:08:00,SMT,TG,Semarang Tawang,Tegal
190,198,KA EKSEKUTIF EKONOMI,KAMANDAKA,08:11:00,10:29:00,TG,KYA,Tegal,Kroya
191,199,KA EKSEKUTIF EKONOMI,KAMANDAKA,10:59:00,11:48:00,KYA,CP,Kroya,Cilacap
192,185,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,17:30:00,19:25:00,PWT,TG,Purwokerto,Tegal
193,186,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,19:29:00,00:16:00,TG,SLO,Tegal,Solo Balapan
194,187,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,05:10:00,09:41:00,SLO,TG,Solo Balapan,Tegal
195,188,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,09:47:00,15:34:00,TG,SLO,Tegal,Solo Balapan
196,189,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,15:50:00,18:02:00,SLO,SMT,Solo Balapan,Semarang Tawang
197,193,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,06:10:00,11:59:00,SLO,TG,Solo Balapan,Tegal
198,192,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,12:03:00,16:40:00,TG,SLO,Tegal,Solo Balapan
199,201,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,10:20:00,13:28:00,YK,CP,Yogyakarta,Cilacap
200,202,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,06:00:00,09:03:00,CP,YK,Cilacap,Yogyakarta
201,203,KA EKSEKUTIF EKONOMI,TEGAL BAHARI,16:00:00,20:30:00,TG,PSE,Tegal,Pasar Senen
202,204,KA EKSEKUTIF EKONOMI,TEGAL BAHARI,10:40:00,15:05:00,PSE,TG,Pasar Senen,Tegal
203,208F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,18:55:00,19:18:00,PWT,KYA,Purwokerto,Kroya
204,205F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,19:40:00,02:10:00,KYA,BD,Kroya,Bandung
205,206F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,07:55:00,13:18:00,BD,KYA,Bandung,Kroya
206,207F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,13:39:00,14:04:00,KYA,PWT,Kroya,Purwokerto
207,209,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,09:00:00,15:30:00,SBI,KTG,Surabaya Pasarturi,Ketapang (Banyuwangi)
208,210,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,22:00:00,04:10:00,KTG,SBI,Ketapang (Banyuwangi),Surabaya Pasarturi
209,211F,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,21:50:00,03:40:00,SGU,KTG,Surabaya Gubeng,Ketapang (Banyuwangi)
210,212F,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,08:40:00,14:38:00,KTG,SGU,Ketapang (Banyuwangi),Surabaya Gubeng
211,213,KA EKSEKUTIF EKONOMI,KALIGUNG,08:40:00,11:07:00,SMC,BB,Semarang Poncol,Brebes
212,214,KA EKSEKUTIF EKONOMI,KALIGUNG,11:50:00,15:00:00,BB,SMC,Brebes,Semarang Poncol
213,215,KA EKSEKUTIF EKONOMI,KALIGUNG,17:20:00,19:31:00,SMC,TG,Semarang Poncol,Tegal
214,216,KA EKSEKUTIF EKONOMI,KALIGUNG,04:50:00,07:18:00,BB,SMC,Brebes,Semarang Poncol
215,217,KA EKSEKUTIF EKONOMI,KALIGUNG,05:00:00,08:50:00,SMC,CNP,Semarang Poncol,Cirebon Prujakan
216,218,KA EKSEKUTIF EKONOMI,KALIGUNG,09:20:00,13:43:00,CNP,SMC,Cirebon Prujakan,Semarang Poncol
217,219,KA EKSEKUTIF EKONOMI,KALIGUNG,14:45:00,17:00:00,SMC,TG,Semarang Poncol,Tegal
218,220,KA EKSEKUTIF EKONOMI,KALIGUNG,17:55:00,20:06:00,TG,SMC,Tegal,Semarang Poncol
219,221F,KA EKSEKUTIF EKONOMI,KALIGUNG,21:00:00,23:35:00,SMC,TG,Semarang Poncol,Tegal
220,222F,KA EKSEKUTIF EKONOMI,KALIGUNG,20:30:00,22:43:00,TG,SMC,Tegal,Semarang Poncol
221,223,KA EKSEKUTIF EKONOMI,PANGRANGO,05:10:00,06:57:00,SI,BOO,Sukabumi,Bogor
222,224,KA EKSEKUTIF EKONOMI,PANGRANGO,07:45:00,09:30:00,BOO,SI,Bogor,Sukabumi
223,225,KA EKSEKUTIF EKONOMI,PANGRANGO,10:30:00,12:15:00,SI,BOO,Sukabumi,Bogor
224,226,KA EKSEKUTIF EKONOMI,PANGRANGO,12:40:00,14:25:00,BOO,SI,Bogor,Sukabumi
225,227,KA EKSEKUTIF EKONOMI,PANGRANGO,14:50:00,16:35:00,SI,BOO,Sukabumi,Bogor
226,228,KA EKSEKUTIF EKONOMI,PANGRANGO,17:00:00,18:45:00,BOO,SI,Bogor,Sukabumi
227,229,KA EKSEKUTIF EKONOMI,PANGRANGO,19:10:00,20:55:00,SI,BOO,Sukabumi,Bogor
228,230,KA EKSEKUTIF EKONOMI,PANGRANGO,21:20:00,23:05:00,BOO,SI,Bogor,Sukabumi
229,231,KA EKSEKUTIF EKONOMI,BANYUBIRU EKSPRES,17:50:00,20:02:00,SLO,SMT,Solo Balapan,Semarang Tawang
230,232,KA EKSEKUTIF EKONOMI,BANYUBIRU EKSPRES,21:15:00,23:17:00,SMT,SLO,Semarang Tawang,Solo Balapan
231,233F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,07:00:00,10:41:00,SBI,GBN,Surabaya Pasarturi,Gambringan
232,234F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,10:46:00,11:56:00,GBN,SLO,Gambringan,Solo Balapan
233,235F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,12:00:00,15:58:00,SLO,CP,Solo Balapan,Cilacap
234,236F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,17:10:00,21:37:00,CP,SLO,Cilacap,Solo Balapan
235,237F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,21:45:00,23:29:00,SLO,GBN,Solo Balapan,Gambringan
236,238F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,23:34:00,02:58:00,GBN,SBI,Gambringan,Surabaya Pasarturi
237,240F,KA EKSEKUTIF EKONOMI,IJEN EKSPRES,19:30:00,00:51:00,KTG,BG,Ketapang (Banyuwangi),Bangil
238,241F,KA EKSEKUTIF EKONOMI,IJEN EKSPRES,01:25:00,02:30:00,BG,ML,Bangil,Malang
239,242F,KA EKSEKUTIF EKONOMI,IJEN EKSPRES,07:50:00,08:52:00,ML,BG,Malang,Bangil
240,239F,KA EKSEKUTIF EKONOMI,IJEN EKSPRES,09:20:00,14:55:00,BG,KTG,Bangil,Ketapang (Banyuwangi)
241,245,KA EKONOMI,MAJAPAHIT,17:45:00,06:42:00,ML,PSE,Malang,Pasar Senen
242,246,KA EKONOMI,MAJAPAHIT,17:40:00,06:28:00,PSE,ML,Pasar Senen,Malang
243,250,KA EKONOMI,LOGAWA,06:15:00,12:03:00,KTG,SGU,Ketapang (Banyuwangi),Surabaya Gubeng
244,247,KA EKONOMI,LOGAWA,12:48:00,20:20:00,SGU,PWT,Surabaya Gubeng,Purwokerto
245,248,KA EKONOMI,LOGAWA,06:45:00,14:00:00,PWT,SGU,Purwokerto,Surabaya Gubeng
246,249,KA EKONOMI,LOGAWA,14:45:00,21:20:00,SGU,KTG,Surabaya Gubeng,Ketapang (Banyuwangi)
247,251,KA EKONOMI,JAYAKARTA,13:50:00,02:35:00,SGU,PSE,Surabaya Gubeng,Pasar Senen
248,252,KA EKONOMI,JAYAKARTA,17:10:00,06:00:00,PSE,SGU,Pasar Senen,Surabaya Gubeng
249,253,KA EKONOMI,KERTAJAYA,22:30:00,09:03:00,SBI,PSE,Surabaya Pasarturi,Pasar Senen
250,254,KA EKONOMI,KERTAJAYA,14:30:00,01:25:00,PSE,SBI,Pasar Senen,Surabaya Pasarturi
251,255,KA EKONOMI,JAKA TINGKIR,23:35:00,07:43:00,SLO,PSE,Solo Balapan,Pasar Senen
252,256,KA EKONOMI,JAKA TINGKIR,11:50:00,20:00:00,PSE,SLO,Pasar Senen,Solo Balapan
253,257,KA EKONOMI,PROGO,13:10:00,20:45:00,LPN,PSE,Lempuyangan,Pasar Senen
254,258,KA EKONOMI,PROGO,23:20:00,06:40:00,PSE,LPN,Pasar Senen,Lempuyangan
255,259,KA EKONOMI,TAWANG JAYA,11:50:00,17:45:00,SMC,PSE,Semarang Poncol,Pasar Senen
256,260,KA EKONOMI,TAWANG JAYA,18:25:00,00:20:00,PSE,SMC,Pasar Senen,Semarang Poncol
257,261,KA EKONOMI,BLORA JAYA,05:15:00,07:47:00,CU,SMC,Cepu,Semarang Poncol
258,262,KA EKONOMI,BLORA JAYA,19:35:00,22:04:00,SMC,CU,Semarang Poncol,Cepu
259,263,KA EKONOMI,AMBARAWA EKSPRES,06:15:00,10:37:00,SBI,SMC,Surabaya Pasarturi,Semarang Poncol
260,264,KA EKONOMI,AMBARAWA EKSPRES,11:40:00,16:28:00,SMC,SBI,Semarang Poncol,Surabaya Pasarturi
261,265,KA EKONOMI,AMBARAWA EKSPRES,13:30:00,17:51:00,SBI,SMC,Surabaya Pasarturi,Semarang Poncol
262,266,KA EKONOMI,AMBARAWA EKSPRES,08:30:00,12:55:00,SMC,SBI,Semarang Poncol,Surabaya Pasarturi
263,267,KA EKONOMI,BANYUBIRU,08:55:00,10:49:00,SLO,SMT,Solo Balapan,Semarang Tawang
264,268,KA EKONOMI,BANYUBIRU,06:05:00,08:05:00,SMT,SLO,Semarang Tawang,Solo Balapan
265,269,KA EKONOMI,MATARMAJA,07:40:00,23:09:00,ML,PSE,Malang,Pasar Senen
266,270,KA EKONOMI,MATARMAJA,11:25:00,02:17:00,PSE,ML,Pasar Senen,Malang
267,271,KA EKONOMI,AIRLANGGA,12:50:00,00:58:00,SBI,PSE,Surabaya Pasarturi,Pasar Senen
268,272,KA EKONOMI,AIRLANGGA,09:15:00,21:53:00,PSE,SBI,Pasar Senen,Surabaya Pasarturi
269,273,KA EKONOMI,KAHURIPAN,17:10:00,07:15:00,BL,KAC,Blitar,Kiaracondong
270,274,KA EKONOMI,KAHURIPAN,22:20:00,12:05:00,KAC,BL,Kiaracondong,Blitar
271,275,KA EKONOMI,PASUNDAN,05:00:00,18:58:00,SGU,KAC,Surabaya Gubeng,Kiaracondong
272,276,KA EKONOMI,PASUNDAN,11:10:00,00:40:00,KAC,SGU,Kiaracondong,Surabaya Gubeng
273,278,KA EKONOMI,SRI TANJUNG,07:00:00,12:29:00,LPN,SB,Lempuyangan,Surabaya Kota
274,279,KA EKONOMI,SRI TANJUNG,13:20:00,20:00:00,SB,KTG,Surabaya Kota,Ketapang (Banyuwangi)
275,280,KA EKONOMI,SRI TANJUNG,07:15:00,13:29:00,KTG,SB,Ketapang (Banyuwangi),Surabaya Kota
276,277,KA EKONOMI,SRI TANJUNG,14:15:00,19:33:00,SB,LPN,Surabaya Kota,Lempuyangan
277,281,KA EKONOMI,BENGAWAN,22:45:00,07:34:00,PWS,PSE,Purwosari,Pasar Senen
278,282,KA EKONOMI,BENGAWAN,08:55:00,18:05:00,PSE,PWS,Pasar Senen,Purwosari
279,286,KA EKONOMI,SERAYU,07:00:00,07:29:00,PWT,KYA,Purwokerto,Kroya
280,283,KA EKONOMI,SERAYU,07:49:00,17:22:00,KYA,PSE,Kroya,Pasar Senen
281,284,KA EKONOMI,SERAYU,09:30:00,19:34:00,PSE,KYA,Pasar Senen,Kroya
282,285,KA EKONOMI,SERAYU,20:06:00,20:35:00,KYA,PWT,Kroya,Purwokerto
283,290,KA EKONOMI,SERAYU,16:45:00,17:10:00,PWT,KYA,Purwokerto,Kroya
284,287,KA EKONOMI,SERAYU,17:30:00,04:17:00,KYA,PSE,Kroya,Pasar Senen
285,288,KA EKONOMI,SERAYU,19:25:00,05:15:00,PSE,KYA,Pasar Senen,Kroya
286,289,KA EKONOMI,SERAYU,05:35:00,06:00:00,KYA,PWT,Kroya,Purwokerto
287,291,KA EKONOMI,KUTOJAYA SELATAN,09:40:00,17:05:00,KTA,KAC,Kutoarjo,Kiaracondong
288,292,KA EKONOMI,KUTOJAYA SELATAN,20:50:00,04:05:00,KAC,KTA,Kiaracondong,Kutoarjo
289,296,KA EKONOMI,TAWANGALUN,17:00:00,18:19:00,MLK,BG,Malang Kotalama,Bangil
290,293,KA EKONOMI,TAWANGALUN,18:45:00,23:55:00,BG,KTG,Bangil,Ketapang (Banyuwangi)
291,294,KA EKONOMI,TAWANGALUN,05:00:00,10:23:00,KTG,BG,Ketapang (Banyuwangi),Bangil
292,295,KA EKONOMI,TAWANGALUN,10:45:00,12:09:00,BG,MLK,Bangil,Malang Kotalama
293,297,KA EKONOMI,PROBOWANGI,05:55:00,12:45:00,SGU,KTG,Surabaya Gubeng,Ketapang (Banyuwangi)
294,298,KA EKONOMI,PROBOWANGI,17:20:00,23:55:00,KTG,SGU,Ketapang (Banyuwangi),Surabaya Gubeng
295,299,KA EKONOMI,CIKURAY,06:05:00,11:35:00,GRT,PSE,Garut,Pasar Senen
296,300,KA EKONOMI,CIKURAY,17:20:00,22:52:00,PSE,GRT,Pasar Senen,Garut
297,521,KA BANDARA,BANDARA YIA,04:20:00,04:59:00,YK,YIA,Yogyakarta,
298,522,KA BANDARA,BANDARA YIA,05:16:00,05:55:00,YIA,YK,,Yogyakarta
299,523,KA BANDARA,BANDARA YIA,06:30:00,07:09:00,YK,YIA,Yogyakarta,
300,524,KA BANDARA,BANDARA YIA,07:46:00,08:25:00,YIA,YK,,Yogyakarta
301,525,KA BANDARA,BANDARA YIA,08:33:00,09:12:00,YK,YIA,Yogyakarta,
302,526,KA BANDARA,BANDARA YIA,09:53:00,10:32:00,YIA,YK,,Yogyakarta
303,527,KA BANDARA,BANDARA YIA,12:00:00,12:39:00,YK,YIA,Yogyakarta,
304,528,KA BANDARA,BANDARA YIA,13:25:00,14:04:00,YIA,YK,,Yogyakarta
305,529,KA BANDARA,BANDARA YIA,14:13:00,14:52:00,YK,YIA,Yogyakarta,
306,530,KA BANDARA,BANDARA YIA,15:20:00,15:59:00,YIA,YK,,Yogyakarta
307,531,KA BANDARA,BANDARA YIA,16:07:00,16:46:00,YK,YIA,Yogyakarta,
308,532,KA BANDARA,BANDARA YIA,17:34:00,18:13:00,YIA,YK,,Yogyakarta
309,533,KA BANDARA,BANDARA YIA,19:16:00,19:55:00,YK,YIA,Yogyakarta,
310,534,KA BANDARA,BANDARA YIA,20:55:00,21:34:00,YIA,YK,,Yogyakarta
311,535,KA BANDARA,BANDARA YIA,07:40:00,08:15:00,YK,YIA,Yogyakarta,
312,536,KA BANDARA,BANDARA YIA,08:40:00,09:15:00,YIA,YK,,Yogyakarta
313,537,KA BANDARA,BANDARA YIA,09:28:00,10:03:00,YK,YIA,Yogyakarta,
314,538,KA BANDARA,BANDARA YIA,10:20:00,10:55:00,YIA,YK,,Yogyakarta
315,539,KA BANDARA,BANDARA YIA,11:03:00,11:38:00,YK,YIA,Yogyakarta,
316,540,KA BANDARA,BANDARA YIA,12:24:00,12:59:00,YIA,YK,,Yogyakarta
317,541,KA BANDARA,BANDARA YIA,15:02:00,15:37:00,YK,YIA,Yogyakarta,
318,542,KA BANDARA,BANDARA YIA,15:45:00,16:20:00,YIA,YK,,Yogyakarta
319,543,KA BANDARA,BANDARA YIA,16:48:00,17:23:00,YK,YIA,Yogyakarta,
320,544,KA BANDARA,BANDARA YIA,18:54:00,19:29:00,YIA,YK,,Yogyakarta
321,545,KA BANDARA,BANDARA YIA,20:12:00,20:47:00,YK,YIA,Yogyakarta,
322,546,KA BANDARA,BANDARA YIA,21:30:00,22:05:00,YIA,YK,,Yogyakarta
323,547F,KA BANDARA,BANDARA YIA,06:00:00,06:35:00,YK,YIA,Yogyakarta,
324,548F,KA BANDARA,BANDARA YIA,07:00:00,07:35:00,YIA,YK,,Yogyakarta
325,549,KA BANDARA,BANDARA YIA,07:57:00,08:32:00,YK,YIA,Yogyakarta,
326,550,KA BANDARA,BANDARA YIA,09:05:00,09:40:00,YIA,YK,,Yogyakarta
327,551,KA BANDARA,BANDARA YIA,09:51:00,10:26:00,YK,YIA,Yogyakarta,
328,552,KA BANDARA,BANDARA YIA,10:54:00,11:29:00,YIA,YK,,Yogyakarta
329,553,KA BANDARA,BANDARA YIA,13:28:00,14:03:00,YK,YIA,Yogyakarta,
330,554,KA BANDARA,BANDARA YIA,14:45:00,15:20:00,YIA,YK,,Yogyakarta
331,555,KA BANDARA,BANDARA YIA,15:30:00,16:05:00,YK,YIA,Yogyakarta,
332,556,KA BANDARA,BANDARA YIA,16:17:00,16:52:00,YIA,YK,,Yogyakarta
333,557,KA BANDARA,BANDARA YIA,17:15:00,17:50:00,YK,YIA,Yogyakarta,
334,558,KA BANDARA,BANDARA YIA,18:00:00,18:35:00,YIA,YK,,Yogyakarta
335,559,KA BANDARA,BANDARA YIA,18:50:00,19:25:00,YK,YIA,Yogyakarta,
336,560,KA BANDARA,BANDARA YIA,20:15:00,20:50:00,YIA,YK,,Yogyakarta
337,561,KA BANDARA,BANDARA YIA,05:10:00,05:49:00,YK,YIA,Yogyakarta,
338,562,KA BANDARA,BANDARA YIA,06:20:00,06:59:00,YIA,YK,,Yogyakarta
339,563,KA BANDARA,BANDARA YIA,08:55:00,09:34:00,YK,YIA,Yogyakarta,
340,564,KA BANDARA,BANDARA YIA,11:35:00,12:14:00,YIA,YK,,Yogyakarta
341,565,KA BANDARA,BANDARA YIA,12:35:00,13:14:00,YK,YIA,Yogyakarta,
342,566,KA BANDARA,BANDARA YIA,14:56:00,15:35:00,YIA,YK,,Yogyakarta
343,567,KA BANDARA,BANDARA YIA,15:49:00,16:28:00,YK,YIA,Yogyakarta,
344,568,KA BANDARA,BANDARA YIA,17:00:00,17:39:00,YIA,YK,,Yogyakarta
345,569,KA BANDARA,BANDARA YIA,18:25:00,19:04:00,YK,YIA,Yogyakarta,
346,570,KA BANDARA,BANDARA YIA,19:46:00,20:25:00,YIA,YK,,Yogyakarta
347,571,KA BANDARA,BANDARA SMO,06:00:00,07:59:00,MN,SMO,Madiun,Sumoroto
348,572,KA BANDARA,BANDARA SMO,08:35:00,10:35:00,SMO,MN,Sumoroto,Madiun
349,573,KA BANDARA,BANDARA SMO,11:35:00,13:34:00,MN,SMO,Madiun,Sumoroto
350,574,KA BANDARA,BANDARA SMO,14:05:00,16:05:00,SMO,MN,Sumoroto,Madiun
351,575,KA BANDARA,BANDARA SMO,16:20:00,18:20:00,MN,SMO,Madiun,Sumoroto
352,576,KA BANDARA,BANDARA SMO,06:00:00,07:59:00,SMO,MN,Sumoroto,Madiun
353,577,KA BANDARA,BANDARA SMO,08:10:00,10:55:00,MN,SMO,Madiun,Sumoroto
354,578,KA BANDARA,BANDARA SMO,12:00:00,14:15:00,SMO,MN,Sumoroto,Madiun
355,579,KA BANDARA,BANDARA SMO,15:00:00,17:18:00,MN,SMO,Madiun,Sumoroto
356,580,KA BANDARA,BANDARA SMO,17:30:00,19:30:00,SMO,MN,Sumoroto,Madiun